offered,"(1, 1)"
basis,"(1, 1)"
favoritism,"(1, 1)"
gaining,"(1, 2)"
good,"(1, 3)"
placement,"(1, 1)"
meant,"(1, 1)"
navigating,"(1, 1)"
inefficient,"(1, 1)"
bureaucracy,"(1, 1)"
gave,"(1, 2)"
power,"(1, 9)"
little,"(1, 4)"
expertise,"(1, 1)"
jurisdiction,"(1, 2)"
facing,"(1, 3)"
dismal,"(1, 1)"
chances,"(1, 1)"
going,"(1, 2)"
abroad,"(1, 4)"
vested,"(1, 1)"
interest,"(1, 4)"
issues,"(1, 7)"
small,"(1, 3)"
study,"(1, 2)"
groups,"(1, 5)"
salon,"(1, 2)"
lawn,"(1, 1)"
cǎodì,"(1, 1)"
shālóng,"(1, 1)"
appearing,"(1, 2)"
university,"(1, 14)"
campuses,"(1, 3)"
motivated,"(1, 1)"
get,"(1, 2)"
involved,"(1, 2)"
politically,"(1, 3)"
nominally,"(1, 1)"
socialist,"(1, 7)"
adopted,"(1, 2)"
capitalist,"(1, 2)"
practices,"(1, 1)"
enterprise,"(1, 1)"
rise,"(1, 2)"
profiteers,"(1, 1)"
took,"(1, 19)"
advantage,"(1, 1)"
lax,"(1, 1)"
regulations,"(1, 1)"
flaunted,"(1, 1)"
wealth,"(1, 2)"
front,"(1, 6)"
brewing,"(1, 1)"
unfair,"(1, 1)"
distribution,"(1, 1)"
greed,"(1, 1)"
skill,"(1, 1)"
appeared,"(1, 5)"
crucial,"(1, 1)"
factor,"(1, 1)"
success,"(1, 3)"
disillusionment,"(1, 1)"
wanted,"(1, 12)"
change,"(1, 3)"
yet,"(1, 2)"
define,"(1, 1)"
correct,"(1, 2)"
path,"(1, 3)"
continued,"(1, 9)"
rest,"(1, 2)"
solely,"(1, 1)"
hands,"(1, 4)"
unelected,"(1, 1)"
wide,"(1, 4)"
ranging,"(1, 2)"
differences,"(1, 1)"
pace,"(1, 2)"
marketization,"(1, 1)"
control,"(1, 14)"
chasm,"(1, 1)"
reformers,"(1, 1)"
right,"(1, 2)"
favoured,"(1, 1)"
plurality,"(1, 2)"
ideas,"(1, 2)"
channel,"(1, 1)"
voice,"(1, 2)"
pressed,"(1, 2)"
conservatives,"(1, 3)"
left,"(1, 12)"
chen,"(1, 7)"
yun,"(1, 1)"
said,"(1, 20)"
gone,"(1, 1)"
far,"(1, 3)"
advocated,"(1, 2)"
return,"(1, 4)"
ensure,"(1, 1)"
stability,"(1, 4)"
better,"(1, 3)"
align,"(1, 1)"
sides,"(1, 2)"
backing,"(1, 1)"
carry,"(1, 3)"
important,"(1, 2)"
policy,"(1, 3)"
decisions,"(1, 1)"
1986,"(1, 5)"
mid,"(1, 4)"
astrophysics,"(1, 1)"
professor,"(1, 1)"
fang,"(1, 6)"
lizhi,"(1, 1)"
returned,"(1, 5)"
position,"(1, 10)"
princeton,"(1, 1)"
personal,"(1, 4)"
tour,"(1, 3)"
speaking,"(1, 2)"
liberty,"(1, 1)"
separation,"(1, 2)"
powers,"(1, 3)"
part,"(1, 3)"
wider,"(1, 1)"
undercurrent,"(1, 1)"
thought,"(1, 3)"
underdevelopment,"(1, 1)"
disaster,"(1, 1)"
direct,"(1, 3)"
authoritarian,"(1, 1)"
rigid,"(1, 1)"
command,"(1, 2)"
view,"(1, 3)"
answer,"(1, 1)"
gained,"(1, 7)"
appeal,"(1, 5)"
recorded,"(1, 4)"
speeches,"(1, 5)"
circulated,"(1, 3)"
response,"(1, 7)"
blindly,"(1, 1)"
worshipping,"(1, 1)"
lifestyles,"(1, 1)"
capitalism,"(1, 1)"
multi,"(1, 1)"
systems,"(1, 2)"
undermining,"(1, 2)"
